kind,split,left_date,right_date
climatology,1,2014-09-01,2015-01-01
climatology,2,2015-01-01,2015-05-01
climatology,3,2015-05-01,2015-09-01
climatology,4,2015-09-01,2016-01-01
climatology,5,2016-01-01,2016-05-01
climatology,6,2016-05-01,2016-09-01
climatology,7,2016-09-01,2017-01-01
climatology,8,2017-01-01,2017-05-01
climatology,9,2017-05-01,2017-09-01
climatology,10,2017-09-01,2018-01-01
climatology,11,2018-01-01,2018-05-01
climatology,12,2018-05-01,2018-09-01
climatology,13,2018-09-01,2019-01-01
climatology,14,2019-01-01,2019-05-01
climatology,15,2019-05-01,2019-09-01
climatology,16,2019-09-01,2020-01-01
climatology,17,2020-01-01,2020-05-01
climatology,18,2020-05-01,2020-09-01
climatology,19,2020-09-01,2021-01-01
climatology,20,2021-01-01,2021-05-01
climatology,21,2021-05-01,2021-09-01
climatology,22,2021-09-01,2022-01-01
climatology,23,2022-01-01,2022-05-01
climatology,24,2022-05-01,2022-09-01
climatology,25,2022-09-01,2023-01-01
climatology,26,2023-01-01,2023-05-01
climatology,27,2023-05-01,2023-09-01
climatology,28,2023-09-01,2024-01-01
climatology,29,2024-01-01,2024-04-01
residual,1,2014-09-01,2015-01-01
residual,2,2015-01-01,2015-05-01
residual,3,2015-05-01,2015-09-01
residual,4,2015-09-01,2016-01-01
residual,5,2016-01-01,2016-05-01
residual,6,2016-05-01,2016-09-01
residual,7,2016-09-01,2017-01-01
residual,8,2017-01-01,2017-05-01
residual,9,2017-05-01,2017-09-01
residual,10,2017-09-01,2018-01-01
residual,11,2018-01-01,2018-05-01
residual,12,2018-05-01,2018-09-01
residual,13,2018-09-01,2019-01-01
residual,14,2019-01-01,2019-05-01
residual,15,2019-05-01,2019-09-01
residual,16,2019-09-01,2020-01-01
residual,17,2020-01-01,2020-05-01
residual,18,2020-05-01,2020-09-01
residual,19,2020-09-01,2021-01-01
residual,20,2021-01-01,2021-05-01
residual,21,2021-05-01,2021-09-01
residual,22,2021-09-01,2022-01-01
residual,23,2022-01-01,2022-05-01
residual,24,2022-05-01,2022-09-01
residual,25,2022-09-01,2023-01-01
residual,26,2023-01-01,2023-05-01
residual,27,2023-05-01,2023-09-01
residual,28,2023-09-01,2024-01-01
residual,29,2024-01-01,2024-04-01
