kind,split,left_date,right_date
control,1,2014-09-01,2015-01-01
control,2,2015-01-01,2015-05-01
control,3,2015-05-01,2015-09-01
control,4,2015-09-01,2016-01-01
control,5,2016-01-01,2016-05-01
control,6,2016-05-01,2016-09-01
control,7,2016-09-01,2017-01-01
control,8,2017-01-01,2017-05-01
control,9,2017-05-01,2017-09-01
control,10,2017-09-01,2018-01-01
control,11,2018-01-01,2018-05-01
control,12,2018-05-01,2018-09-01
control,13,2018-09-01,2019-01-01
control,14,2019-01-01,2019-05-01
control,15,2019-05-01,2019-09-01
control,16,2019-09-01,2020-01-01
control,17,2020-01-01,2020-05-01
control,18,2020-05-01,2020-09-01
control,19,2020-09-01,2021-01-01
control,20,2021-01-01,2021-05-01
control,21,2021-05-01,2021-09-01
control,22,2021-09-01,2022-01-01
control,23,2022-01-01,2022-05-01
control,24,2022-05-01,2022-09-01
control,25,2022-09-01,2023-01-01
control,26,2023-01-01,2023-05-01
control,27,2023-05-01,2023-09-01
control,28,2023-09-01,2024-01-01
control,29,2024-01-01,2024-04-01
